[rootfs] target : build/output/rootfs
I: Retrieving libcap-ng0 0.8.4-2build2
I: Validating libcap-ng0 0.8.4-2build2
I: Retrieving libcap2 1:2.66-5ubuntu2
I: Validating libcap2 1:2.66-5ubuntu2
I: Retrieving libcom-err2 1.47.0-2.4~exp1ubuntu4
I: Validating libcom-err2 1.47.0-2.4~exp1ubuntu4
I: Retrieving libcrypt1 1:4.4.36-4build1
I: Validating libcrypt1 1:4.4.36-4build1
I: Retrieving libdebconfclient0 0.271ubuntu3
I: Validating libdebconfclient0 0.271ubuntu3
I: Retrieving libext2fs2t64 1.47.0-2.4~exp1ubuntu4
I: Validating libext2fs2t64 1.47.0-2.4~exp1ubuntu4
I: Retrieving libffi8 3.4.6-1build1
I: Validating libffi8 3.4.6-1build1
I: Retrieving libgcc-s1 14-20240412-0ubuntu1
I: Validating libgcc-s1 14-20240412-0ubuntu1
I: Retrieving libgcrypt20 1.10.3-2build1
I: Validating libgcrypt20 1.10.3-2build1
I: Retrieving libgmp10 2:6.3.0+dfsg-2ubuntu6
I: Validating libgmp10 2:6.3.0+dfsg-2ubuntu6
I: Retrieving libgnutls30t64 3.8.3-1.1ubuntu3
I: Validating libgnutls30t64 3.8.3-1.1ubuntu3
I: Retrieving libgpg-error0 1.47-3build2
I: Validating libgpg-error0 1.47-3build2
I: Retrieving libhogweed6t64 3.9.1-2.2build1
I: Validating libhogweed6t64 3.9.1-2.2build1
I: Retrieving libidn2-0 2.3.7-2build1
I: Validating libidn2-0 2.3.7-2build1
I: Retrieving liblz4-1 1.9.4-1build1
I: Validating liblz4-1 1.9.4-1build1
I: Retrieving liblzma5 5.6.1+really5.4.5-1
I: Validating liblzma5 5.6.1+really5.4.5-1
I: Retrieving libmd0 1.1.0-2build1
I: Validating libmd0 1.1.0-2build1
I: Retrieving libmount1 2.39.3-9ubuntu6
I: Validating libmount1 2.39.3-9ubuntu6
I: Retrieving libncursesw6 6.4+20240113-1ubuntu2
I: Validating libncursesw6 6.4+20240113-1ubuntu2
I: Retrieving libnettle8t64 3.9.1-2.2build1
I: Validating libnettle8t64 3.9.1-2.2build1
I: Retrieving libnpth0t64 1.6-3.1build1
I: Validating libnpth0t64 1.6-3.1build1
I: Retrieving libp11-kit0 0.25.3-4ubuntu2
I: Validating libp11-kit0 0.25.3-4ubuntu2
I: Retrieving libpam-modules 1.5.3-5ubuntu5
I: Validating libpam-modules 1.5.3-5ubuntu5
I: Retrieving libpam-modules-bin 1.5.3-5ubuntu5
I: Validating libpam-modules-bin 1.5.3-5ubuntu5
I: Retrieving libpam-runtime 1.5.3-5ubuntu5
I: Validating libpam-runtime 1.5.3-5ubuntu5
I: Retrieving libpam0g 1.5.3-5ubuntu5
I: Validating libpam0g 1.5.3-5ubuntu5
I: Retrieving libpcre2-8-0 10.42-4ubuntu2
I: Validating libpcre2-8-0 10.42-4ubuntu2
I: Retrieving libproc2-0 2:4.0.4-4ubuntu3
I: Validating libproc2-0 2:4.0.4-4ubuntu3
I: Retrieving libseccomp2 2.5.5-1ubuntu3
I: Validating libseccomp2 2.5.5-1ubuntu3
I: Retrieving libselinux1 3.5-2ubuntu2
I: Validating libselinux1 3.5-2ubuntu2
I: Retrieving libsemanage-common 3.5-1build5
I: Validating libsemanage-common 3.5-1build5
I: Retrieving libsemanage2 3.5-1build5
I: Validating libsemanage2 3.5-1build5
I: Retrieving libsepol2 3.5-2build1
I: Validating libsepol2 3.5-2build1
I: Retrieving libsmartcols1 2.39.3-9ubuntu6
I: Validating libsmartcols1 2.39.3-9ubuntu6
I: Retrieving libss2 1.47.0-2.4~exp1ubuntu4
I: Validating libss2 1.47.0-2.4~exp1ubuntu4
I: Retrieving libssl3t64 3.0.13-0ubuntu3
I: Validating libssl3t64 3.0.13-0ubuntu3
I: Retrieving libstdc++6 14-20240412-0ubuntu1
I: Validating libstdc++6 14-20240412-0ubuntu1
I: Retrieving libsystemd0 255.4-1ubuntu8
I: Validating libsystemd0 255.4-1ubuntu8
I: Retrieving libtasn1-6 4.19.0-3build1
I: Validating libtasn1-6 4.19.0-3build1
I: Retrieving libtinfo6 6.4+20240113-1ubuntu2
I: Validating libtinfo6 6.4+20240113-1ubuntu2
I: Retrieving libudev1 255.4-1ubuntu8
I: Validating libudev1 255.4-1ubuntu8
I: Retrieving libunistring5 1.1-2build1
I: Validating libunistring5 1.1-2build1
I: Retrieving libuuid1 2.39.3-9ubuntu6
I: Validating libuuid1 2.39.3-9ubuntu6
I: Retrieving libxxhash0 0.8.2-2build1
I: Validating libxxhash0 0.8.2-2build1
I: Retrieving libzstd1 1.5.5+dfsg2-2build1
I: Validating libzstd1 1.5.5+dfsg2-2build1
I: Retrieving login 1:4.13+dfsg1-4ubuntu3
I: Validating login 1:4.13+dfsg1-4ubuntu3
I: Retrieving logsave 1.47.0-2.4~exp1ubuntu4
I: Validating logsave 1.47.0-2.4~exp1ubuntu4
I: Retrieving mawk 1.3.4.20240123-1build1
I: Validating mawk 1.3.4.20240123-1build1
I: Retrieving mount 2.39.3-9ubuntu6
I: Validating mount 2.39.3-9ubuntu6
I: Retrieving ncurses-base 6.4+20240113-1ubuntu2
I: Validating ncurses-base 6.4+20240113-1ubuntu2
I: Retrieving ncurses-bin 6.4+20240113-1ubuntu2
I: Validating ncurses-bin 6.4+20240113-1ubuntu2
I: Retrieving passwd 1:4.13+dfsg1-4ubuntu3
I: Validating passwd 1:4.13+dfsg1-4ubuntu3
I: Retrieving perl-base 5.38.2-3.2build2
I: Validating perl-base 5.38.2-3.2build2
I: Retrieving procps 2:4.0.4-4ubuntu3
I: Validating procps 2:4.0.4-4ubuntu3
I: Retrieving sed 4.9-2build1
I: Validating sed 4.9-2build1
I: Retrieving sensible-utils 0.0.22
I: Validating sensible-utils 0.0.22
I: Retrieving sysvinit-utils 3.08-6ubuntu3
I: Validating sysvinit-utils 3.08-6ubuntu3
I: Retrieving tar 1.35+dfsg-3build1
I: Validating tar 1.35+dfsg-3build1
I: Retrieving ubuntu-keyring 2023.11.28.1
I: Validating ubuntu-keyring 2023.11.28.1
I: Retrieving util-linux 2.39.3-9ubuntu6
I: Validating util-linux 2.39.3-9ubuntu6
I: Retrieving zlib1g 1:1.3.dfsg-3.1ubuntu2
I: Validating zlib1g 1:1.3.dfsg-3.1ubuntu2
I: Chosen extractor for .deb packages: dpkg-deb
I: Extracting base-files...
I: Extracting base-passwd...
I: Extracting bash...
I: Extracting bsdutils...
I: Extracting coreutils...
I: Extracting dash...
I: Extracting debconf...
I: Extracting debianutils...
I: Extracting diffutils...
I: Extracting dpkg...
I: Extracting e2fsprogs...
I: Extracting findutils...
I: Extracting gcc-14-base...
I: Extracting grep...
I: Extracting gzip...
I: Extracting hostname...
I: Extracting init-system-helpers...
I: Extracting libacl1...
I: Extracting libattr1...
I: Extracting libaudit-common...
I: Extracting libaudit1...
I: Extracting libblkid1...
I: Extracting libbz2-1.0...
I: Extracting libc-bin...
I: Extracting libc6...
I: Extracting libcap-ng0...
I: Extracting libcap2...
I: Extracting libcom-err2...
I: Extracting libcrypt1...
I: Extracting libdebconfclient0...
I: Extracting libext2fs2t64...
I: Extracting libgcc-s1...
I: Extracting libgcrypt20...
I: Extracting libgmp10...
I: Extracting libgpg-error0...
I: Extracting liblz4-1...
I: Extracting liblzma5...
I: Extracting libmd0...
I: Extracting libmount1...
I: Extracting libncursesw6...
I: Extracting libpam-modules...
I: Extracting libpam-modules-bin...
I: Extracting libpam-runtime...
I: Extracting libpam0g...
I: Extracting libpcre2-8-0...
I: Extracting libproc2-0...
I: Extracting libselinux1...
I: Extracting libsemanage-common...
I: Extracting libsemanage2...
I: Extracting libsepol2...
I: Extracting libsmartcols1...
I: Extracting libss2...
I: Extracting libssl3t64...
I: Extracting libsystemd0...
I: Extracting libtinfo6...
I: Extracting libudev1...
I: Extracting libuuid1...
I: Extracting libzstd1...
I: Extracting login...
I: Extracting logsave...
I: Extracting mawk...
I: Extracting mount...
I: Extracting ncurses-base...
I: Extracting ncurses-bin...
I: Extracting passwd...
I: Extracting perl-base...
I: Extracting procps...
I: Extracting sed...
I: Extracting sensible-utils...
I: Extracting sysvinit-utils...
I: Extracting tar...
I: Extracting util-linux...
I: Extracting zlib1g...
I: Installing core packages...
I: Unpacking required packages...
I: Unpacking base-files...
I: Unpacking base-passwd...
I: Unpacking bash...
I: Unpacking bsdutils...
I: Unpacking coreutils...
I: Unpacking dash...
I: Unpacking debconf...
I: Unpacking debianutils...
I: Unpacking diffutils...
I: Unpacking dpkg...
I: Unpacking e2fsprogs...
I: Unpacking findutils...
I: Unpacking gcc-14-base:amd64...
I: Unpacking grep...
I: Unpacking gzip...
I: Unpacking hostname...
I: Unpacking init-system-helpers...
I: Unpacking libacl1:amd64...
I: Unpacking libattr1:amd64...
I: Unpacking libaudit-common...
I: Unpacking libaudit1:amd64...
I: Unpacking libblkid1:amd64...
I: Unpacking libbz2-1.0:amd64...
I: Unpacking libc-bin...
I: Unpacking libc6:amd64...
I: Unpacking libcap-ng0:amd64...
I: Unpacking libcap2:amd64...
I: Unpacking libcom-err2:amd64...
I: Unpacking libcrypt1:amd64...
I: Unpacking libdebconfclient0:amd64...
I: Unpacking libext2fs2t64:amd64...
I: Unpacking libgcc-s1:amd64...
I: Unpacking libgcrypt20:amd64...
I: Unpacking libgmp10:amd64...
I: Unpacking libgpg-error0:amd64...
I: Unpacking liblz4-1:amd64...
I: Unpacking liblzma5:amd64...
I: Unpacking libmd0:amd64...
I: Unpacking libmount1:amd64...
I: Unpacking libncursesw6:amd64...
I: Unpacking libpam-modules:amd64...
I: Unpacking libpam-modules-bin...
I: Unpacking libpam-runtime...
I: Unpacking libpam0g:amd64...
I: Unpacking libpcre2-8-0:amd64...
I: Unpacking libproc2-0:amd64...
I: Unpacking libselinux1:amd64...
I: Unpacking libsemanage-common...
I: Unpacking libsemanage2:amd64...
I: Unpacking libsepol2:amd64...
I: Unpacking libsmartcols1:amd64...
I: Unpacking libss2:amd64...
I: Unpacking libssl3t64:amd64...
I: Unpacking libsystemd0:amd64...
I: Unpacking libtinfo6:amd64...
I: Unpacking libudev1:amd64...
I: Unpacking libuuid1:amd64...
I: Unpacking libzstd1:amd64...
I: Unpacking login...
I: Unpacking logsave...
I: Unpacking mawk...
I: Unpacking mount...
I: Unpacking ncurses-base...
I: Unpacking ncurses-bin...
I: Unpacking passwd...
I: Unpacking perl-base...
I: Unpacking procps...
I: Unpacking sed...
I: Unpacking sensible-utils...
I: Unpacking sysvinit-utils...
I: Unpacking tar...
I: Unpacking util-linux...
I: Unpacking zlib1g:amd64...
I: Configuring required packages...
I: Configuring gcc-14-base:amd64...
I: Configuring libaudit-common...
I: Configuring libsemanage-common...
I: Configuring debconf...
I: Configuring ncurses-base...
I: Configuring init-system-helpers...
I: Configuring sensible-utils...
I: Configuring libgcc-s1:amd64...
I: Configuring libc6:amd64...
I: Configuring libmd0:amd64...
I: Configuring libattr1:amd64...
I: Configuring sysvinit-utils...
I: Configuring libext2fs2t64:amd64...
I: Configuring debianutils...
I: Configuring mawk...
I: Configuring libdebconfclient0:amd64...
I: Configuring libbz2-1.0:amd64...
I: Configuring libblkid1:amd64...
I: Configuring libtinfo6:amd64...
I: Configuring libzstd1:amd64...
I: Configuring liblzma5:amd64...
I: Configuring libgpg-error0:amd64...
I: Configuring libssl3t64:amd64...
I: Configuring liblz4-1:amd64...
I: Configuring libc-bin...
I: Configuring ncurses-bin...
I: Configuring libacl1:amd64...
I: Configuring libsmartcols1:amd64...
I: Configuring libgcrypt20:amd64...
I: Configuring zlib1g:amd64...
I: Configuring libcrypt1:amd64...
I: Configuring libcom-err2:amd64...
I: Configuring diffutils...
I: Configuring libcap2:amd64...
I: Configuring hostname...
I: Configuring libcap-ng0:amd64...
I: Configuring libgmp10:amd64...
I: Configuring libaudit1:amd64...
I: Configuring libuuid1:amd64...
I: Configuring libss2:amd64...
I: Configuring libsepol2:amd64...
I: Configuring libpcre2-8-0:amd64...
I: Configuring libncursesw6:amd64...
I: Configuring logsave...
I: Configuring libudev1:amd64...
I: Configuring base-files...
I: Configuring bash...
I: Configuring grep...
I: Configuring e2fsprogs...
I: Configuring libsystemd0:amd64...
I: Configuring libselinux1:amd64...
I: Configuring libpam0g:amd64...
I: Configuring sed...
I: Configuring libproc2-0:amd64...
I: Configuring findutils...
I: Configuring libmount1:amd64...
I: Configuring procps...
I: Configuring libsemanage2:amd64...
I: Configuring base-passwd...
I: Configuring bsdutils...
I: Configuring tar...
I: Configuring libpam-modules-bin...
I: Configuring coreutils...
I: Configuring util-linux...
I: Configuring dpkg...
I: Configuring mount...
I: Configuring dash...
I: Configuring libpam-modules:amd64...
I: Configuring perl-base...
I: Configuring gzip...
I: Configuring passwd...
I: Configuring libpam-runtime...
I: Configuring login...
I: Configuring libc-bin...
I: Unpacking the base system...
I: Unpacking apt...
I: Unpacking gpgv...
I: Unpacking libapt-pkg6.0t64:amd64...
I: Unpacking libassuan0:amd64...
I: Unpacking libffi8:amd64...
I: Unpacking libgnutls30t64:amd64...
I: Unpacking libhogweed6t64:amd64...
I: Unpacking libidn2-0:amd64...
I: Unpacking libnettle8t64:amd64...
I: Unpacking libnpth0t64:amd64...
I: Unpacking libp11-kit0:amd64...
I: Unpacking libseccomp2:amd64...
I: Unpacking libstdc++6:amd64...
I: Unpacking libtasn1-6:amd64...
I: Unpacking libunistring5:amd64...
I: Unpacking libxxhash0:amd64...
I: Unpacking ubuntu-keyring...
I: Configuring the base system...
I: Configuring libnpth0t64:amd64...
I: Configuring libassuan0:amd64...
I: Configuring ubuntu-keyring...
I: Configuring libseccomp2:amd64...
I: Configuring libnettle8t64:amd64...
I: Configuring libunistring5:amd64...
I: Configuring libffi8:amd64...
I: Configuring libhogweed6t64:amd64...
I: Configuring gpgv...
I: Configuring libxxhash0:amd64...
I: Configuring libtasn1-6:amd64...
I: Configuring libstdc++6:amd64...
I: Configuring libidn2-0:amd64...
I: Configuring libp11-kit0:amd64...
I: Configuring libapt-pkg6.0t64:amd64...
I: Configuring libgnutls30t64:amd64...
I: Configuring apt...
I: Configuring libc-bin...
I: Base system installed successfully.
Reading package lists...
Building dependency tree...
The following additional packages will be installed:
  adduser apt bsdutils dirmngr ethtool gnupg-utils gpg gpg-agent gpgconf gpgsm
  iproute2 iucode-tool keyboxd libapparmor1 libapt-pkg6.0t64 libargon2-1
  libblkid1 libbpf1 libbrotli1 libbsd0 libcap2 libcap2-bin libcbor0.10
  libcryptsetup12 libcurl4t64 libdb5.3t64 libdevmapper1.02.1 libedit2
  libelf1t64 libexpat1 libfdisk1 libfido2-1 libglib2.0-0t64 libgssapi-krb5-2
  libjson-c5 libk5crypto3 libkeyutils1 libkmod2 libkrb5-3 libkrb5support0
  libksba8 libldap2 libmnl0 libmount1 libnetplan1 libnghttp2-14 libpsl5t64
  libpython3-stdlib libpython3.12-minimal libpython3.12-stdlib libreadline8t64
  librtmp1 libsasl2-2 libsasl2-modules-db libsmartcols1 libsqlite3-0 libssh-4
  libssl3t64 libsystemd-shared libsystemd0 libudev1 libuuid1 libwrap0
  libxtables12 libyaml-0-2 media-types mount netbase netplan-generator
  openssh-client openssh-sftp-server openssl pinentry-curses python3
  python3-cffi-backend python3-minimal python3-netplan python3-yaml python3.12
  python3.12-minimal readline-common systemd-dev tzdata ucf util-linux
  vim-common
Suggested packages:
  liblocale-gettext-perl perl cron quota ecryptfs-utils apt-doc aptitude
  | synaptic | wajig dpkg-dev powermgmt-base dbus-user-session libpam-systemd
  pinentry-gnome3 tor parcimonie xloadimage gpg-wks-server scdaemon
  iproute2-doc low-memory-monitor krb5-doc krb5-user cryptsetup-bin nfs-common
  network-manager | wpasupplicant openvswitch-switch iw systemd-resolved
  keychain libpam-ssh monkeysphere ssh-askpass molly-guard ufw pinentry-doc
  python3-doc python3-tk python3-venv python3.12-venv python3.12-doc binutils
  binfmt-support readline-doc systemd-container systemd-homed systemd-userdbd
  systemd-boot libip4tc2 libqrencode4 libtss2-esys-3.0.2-0 libtss2-mu-4.0.1-0
  libtss2-rc0 libtss2-tcti-device0 polkitd dosfstools kbd util-linux-extra
  util-linux-locales indent
Recommended packages:
  initramfs-tools | dracut | tiny-initramfs bsdextrautils gnupg-l10n
  gpg-wks-client initramfs-tools libatm1t64 libpam-cap dmsetup libglib2.0-data
  shared-mime-info xdg-user-dirs krb5-locales libldap-common publicsuffix
  libsasl2-modules uuid-runtime firmware-sof-signed python3-rich xauth
  default-logind | logind | libpam-systemd ncurses-term ssh-import-id
  default-dbus-system-bus | dbus-system-bus networkd-dispatcher
  systemd-timesyncd | time-daemon systemd-resolved libpam-systemd
  libnss-systemd systemd-hwe-hwdb xxd
The following NEW packages will be installed:
  adduser amd64-microcode apt-utils ca-certificates curl dirmngr ethtool gnupg
  gnupg-utils gpg gpg-agent gpgconf gpgsm intel-microcode iproute2 iucode-tool
  keyboxd libapparmor1 libargon2-1 libbpf1 libbrotli1 libbsd0 libcap2-bin
  libcbor0.10 libcryptsetup12 libcurl4t64 libdb5.3t64 libdevmapper1.02.1
  libedit2 libelf1t64 libexpat1 libfdisk1 libfido2-1 libglib2.0-0t64
  libgssapi-krb5-2 libjson-c5 libk5crypto3 libkeyutils1 libkmod2 libkrb5-3
  libkrb5support0 libksba8 libldap2 libmnl0 libnetplan1 libnghttp2-14
  libpsl5t64 libpython3-stdlib libpython3.12-minimal libpython3.12-stdlib
  libreadline8t64 librtmp1 libsasl2-2 libsasl2-modules-db libsqlite3-0
  libssh-4 libsystemd-shared libwrap0 libxtables12 libyaml-0-2 linux-firmware
  media-types netbase netplan-generator netplan.io openssh-client
  openssh-server openssh-sftp-server openssl pinentry-curses python3
  python3-cffi-backend python3-minimal python3-netplan python3-yaml python3.12
  python3.12-minimal readline-common systemd systemd-dev systemd-sysv tzdata
  ucf udev vim-common vim-tiny
The following packages will be upgraded:
  apt bsdutils gpgv libapt-pkg6.0t64 libblkid1 libcap2 libmount1 libsmartcols1
  libssl3t64 libsystemd0 libudev1 libuuid1 mount util-linux
14 upgraded, 86 newly installed, 0 to remove and 52 not upgraded.
Need to get 704 MB of archives.
After this operation, 775 MB of additional disk space will be used.
Get:1 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 bsdutils amd64 1:2.39.3-9ubuntu6.5 [96.1 kB]
Get:2 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 util-linux amd64 2.39.3-9ubuntu6.5 [1128 kB]
Get:3 http://archive.ubuntu.com/ubuntu noble/main amd64 adduser all 3.137ubuntu1 [101 kB]
Get:4 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libcap2 amd64 1:2.66-5ubuntu2.4 [30.5 kB]
Get:5 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libsystemd0 amd64 255.4-1ubuntu8.17 [432 kB]
Get:6 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libudev1 amd64 255.4-1ubuntu8.17 [178 kB]
Get:7 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libapt-pkg6.0t64 amd64 2.8.3 [985 kB]
Get:8 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 gpgv amd64 2.4.4-2ubuntu17.4 [158 kB]
Get:9 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 apt amd64 2.8.3 [1376 kB]
Get:10 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 mount amd64 2.39.3-9ubuntu6.5 [118 kB]
Get:11 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libssl3t64 amd64 3.0.13-0ubuntu3.12 [1942 kB]
Get:12 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libpython3.12-minimal amd64 3.12.3-1ubuntu0.15 [839 kB]
Get:13 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libexpat1 amd64 2.6.1-2ubuntu0.4 [88.2 kB]
Get:14 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 python3.12-minimal amd64 3.12.3-1ubuntu0.15 [2334 kB]
Get:15 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 python3-minimal amd64 3.12.3-0ubuntu2.1 [27.4 kB]
Get:16 http://archive.ubuntu.com/ubuntu noble/main amd64 media-types all 10.1.0 [27.5 kB]
Get:17 http://archive.ubuntu.com/ubuntu noble/main amd64 netbase all 6.4 [13.1 kB]
Get:18 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 tzdata all 2026c-0ubuntu0.24.04.1 [280 kB]
Get:19 http://archive.ubuntu.com/ubuntu noble/main amd64 libdb5.3t64 amd64 5.3.28+dfsg2-7 [734 kB]
Get:20 http://archive.ubuntu.com/ubuntu noble/main amd64 readline-common all 8.2-4build1 [56.5 kB]
Get:21 http://archive.ubuntu.com/ubuntu noble/main amd64 libreadline8t64 amd64 8.2-4build1 [153 kB]
Get:22 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libsqlite3-0 amd64 3.45.1-1ubuntu2.7 [701 kB]
Get:23 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libpython3.12-stdlib amd64 3.12.3-1ubuntu0.15 [2071 kB]
Get:24 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 python3.12 amd64 3.12.3-1ubuntu0.15 [651 kB]
Get:25 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libpython3-stdlib amd64 3.12.3-0ubuntu2.1 [10.1 kB]
Get:26 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 python3 amd64 3.12.3-0ubuntu2.1 [23.0 kB]
Get:27 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libapparmor1 amd64 4.0.1really4.0.1-0ubuntu0.24.04.7 [51.3 kB]
Get:28 http://archive.ubuntu.com/ubuntu noble/main amd64 libargon2-1 amd64 0~20190702+dfsg-4build1 [20.8 kB]
Get:29 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libblkid1 amd64 2.39.3-9ubuntu6.5 [123 kB]
Get:30 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libdevmapper1.02.1 amd64 2:1.02.185-3ubuntu3.2 [139 kB]
Get:31 http://archive.ubuntu.com/ubuntu noble/main amd64 libjson-c5 amd64 0.17-1build1 [35.3 kB]
Get:32 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libuuid1 amd64 2.39.3-9ubuntu6.5 [36.1 kB]
Get:33 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libcryptsetup12 amd64 2:2.7.0-1ubuntu4.2 [266 kB]
Get:34 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libfdisk1 amd64 2.39.3-9ubuntu6.5 [146 kB]
Get:35 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libkmod2 amd64 31+20240202-2ubuntu7.2 [51.8 kB]
Get:36 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libmount1 amd64 2.39.3-9ubuntu6.5 [134 kB]
Get:37 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libsystemd-shared amd64 255.4-1ubuntu8.17 [2077 kB]
Get:38 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 systemd-dev all 255.4-1ubuntu8.17 [107 kB]
Get:39 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 systemd amd64 255.4-1ubuntu8.17 [3475 kB]
Get:40 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 systemd-sysv amd64 255.4-1ubuntu8.17 [11.9 kB]
Get:41 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libbsd0 amd64 0.12.1-1build1.1 [41.2 kB]
Get:42 http://archive.ubuntu.com/ubuntu noble/main amd64 libedit2 amd64 3.1-20230828-1build1 [97.6 kB]
Get:43 http://archive.ubuntu.com/ubuntu noble/main amd64 libcbor0.10 amd64 0.10.2-1.2ubuntu2 [25.8 kB]
Get:44 http://archive.ubuntu.com/ubuntu noble/main amd64 libfido2-1 amd64 1.14.0-1build3 [83.5 kB]
Get:45 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libkrb5support0 amd64 1.20.1-6ubuntu2.8 [34.7 kB]
Get:46 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libk5crypto3 amd64 1.20.1-6ubuntu2.8 [81.9 kB]
Get:47 http://archive.ubuntu.com/ubuntu noble/main amd64 libkeyutils1 amd64 1.6.3-3build1 [9490 B]
Get:48 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libkrb5-3 amd64 1.20.1-6ubuntu2.8 [348 kB]
Get:49 http://archive.ubuntu.com/ubuntu noble-updates/main amd64 libgssapi-krb5-2 amd64 1.20.1-6ubuntu2.8 [143 kB]
